"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"SC2252","ELIMINATED","SCS1","Head of Work & Health Joint Unit","Work & Health joint unit with DWP","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","N/A","N/D","SC-003","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-043","N/D","SCS1","Deputy Director - NHS Pay, Pensions & Employment Services","'Modernisation of NHS Pension and Pay arrangements.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-011","869090","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-109","N/D","SCS1","Deputy Director Commercial Medicines Unit","'CMU works with NHS Chief Pharmacists to put in place arrangements for the supply of medicines for use within secondary care in the NHS. CMU also undertakes the procurement of clinical countermeasures, vaccines and other pharmacueticals on behalf of the DH.'","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-028","2542129","1.00","85000","89999","","Procurement","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-076","ELIMINATED","SCS1","Deputy Director - Care Provider Continuity","'Head of Care Provider Continuity'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","N/A","N/D","SC-023","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-071","N/D","SCS1","Deputy Director - Alcohol and Drugs Policy","'Responsible for: Alcohol and Drugs Policy.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-019","408312","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD066","N/D","SCS1","Deputy Director - Public Health Policy & Strategy","Responsible for: Public Health Policy & Strategy","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-017","462811","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-051","N/D","SCS1","Deputy Director Estates and Records","Responsible for - DH & ALB strategic estates management and planning; Accommodation and building servcies; Development and delivery of the DH accommodation programme; Operational health and safety and compliance with safety policies; Departmental Record Office and NHS legacy records management'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-016","1083965","1.00","85000","89999","","Property and asset management","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-042","N/D","SCS1","Deputy Director - Corporate Engagement","'Supports the Department in developing its relationships with external partners and stakeholders, and its capability to engage with stakeholders'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-013","780867","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD077","ELIMINATED","SCS1","Deputy Director - Ebola Team","Deputy Director - Ebola Team","Department of Health","Department of Health","Public Health and International Directorate","N/A","N/D","PHD-068","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-055","ELIMINATED","SCS1","Deputy Director - Global Summit on Patient Safety & Connecting","Responsible for delivering the Global Patient Safety Summit in March 2016; continuation of the Connecting Programme into Year 3; Citizen Voice and Insight stewardship and policy leadership on patient and public involvement and leading policy and legislation on NHS complaints handling.","Department of Health","Department of Health","Strategy and External Relations","N/A","N/D","SER-004","0","1.00","0","0","","Operational Delivery","Cost of reports added to SER-004 http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-050","N/D","SCS1","Deputy Director - HR Operations & SCS Unit, HR Change Team","'Responsible for: HR Framework Displacement Exits (Change and Business as Usual) Staff Support Outplacement Restructuring SCS Unit Fast Stream - Strategy and Operations HR Services (Transactions and Casework)'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-014","500732","1.00","85000","89999","","Human Resources","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-039","N/D","SCS1","Acting Deputy Director - Research Infrastructure and Growth","'Responsible for - creating world-class research infrastructure in the NHS to speed up translation of leading-edge research into patient benefits and maximising NHS research potential to contribute to the country’s economic growth through the life sciences industries; forging and harnessing partnership between the NHS and Universities; leading on Research and Development relations with the life sciences industry, and working across government on the growth agenda.'","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","RDD-009","0","1.00","85000","89999","","Policy","Cost of reports added to RDD-009 http://guidance.data.gov.uk/organogram-data.html","1"
"SC-023","Clara Swinson","SCS2","Director of Social Care Policy","'Leadership of the Social Care Policy Division, encompassing strategy and policy for adult social care, including funding reform and legislation; the transformation programme for social care to enable greater choice, control and personalisation of services (including direct payments and personal budgets); strategies on older peoples services, dementia, carers, dignity in care, and safeguarding. It is also responsible for policy on social care finance and efficiency, and provides DHs lead on Social Care for the Comprehensive Spending Review.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-003","1046292","0.90","80000","84999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN128","N/D","SCS1","Deputy Director - Financial Control","Responsible for the Financial Management Improvement Programme","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-1946","N/D","SCS1","Deputy Director Workforce Capacity and Information","'Strategic leadership and coordination for the development and implementation of Departmental policy in respect of workforce information, availability and planning. Funding of education and training to support the development of the workforce.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-011","501992","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-079","N/D","SCS1","Deputy Director - Armed Forces and Offender Health, Mental Health Legislation","'Responsible for: secure services, personality disorder, mental health act, offender mental health.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-026","0","1.00","85000","89999","","Policy","Cost of reports added to SC-026 http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-066","N/D","SCS1","Deputy Director - Health Visitor programme and healthy foods","Responsible for Health Visitors programme and healthy foods programme","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-019","498873","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-2184","N/D","SCS1","Deputy Director - NHS Security","'Responsible for NHS Security.'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Procurement","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-GFM-115","N/D","SCS1","Interim Director - Finance Business Partners","'Responsible for the provision of finance support advice challenge and in year financial management and reporting of DH revenue and capital central budgets administration spend and ALB finances.'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-1893","N/D","SCS1","Head of Health improvement Analytical Team","'Responsible for: Health Improvement Analytical Team'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-017","1142134","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-044","N/D","SCS1","Deputy Director Workforce Analysis","'Provision of analytical data to support Workforce policy areas.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-011","518610","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-062","N/D","SCS1","Deputy Director CBRN, Environmental Threats and Hazards","Deputy Director CBRN, Environmental Threats and Hazards","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-020","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSG-2240","N/D","SCS1","Deputy Director, NHS Clinical Services","'Responsible for Sexual Health & Screening'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-NHSG-031","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-069","N/D","SCS1","Deputy Director - Tobacco and Health Improvement Policy","'Responsible for: Tobacco and Health Improvement Policy.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-019","671203","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-209","N/D","SCS1","Deputy Director and Lead Analyst for Social Care, Local Government and Care Partnerships","Team composed of economists, operational researchers and statisticians supporting the work of the Social Care, Local Government and Care Partnership Directorate.","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-023","724929","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-016","Dominic Brankin","SCS2","Director of Workplace and Transformation","'Responsible for - Provision of Corporate ICT and Information Services; Head of Profession for IT across DH IS and ALBs; Operational leadership and direction of DH IS and ALBs; Setting the strategic direction and policy for ICT and Information Services; Cross Government liaison and overall supplier governance'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-005","1795507","1.00","85000","89999","","Programme and Project Management (PPM)","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-1945","William Vineall","SCS2","Director of Quality","'Responsible for professional regulation, quality improvement, Departmental sponsor for the CQC and lead on the quality regulation of hospitals, social care and other provider bodies.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-004","810826","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2367","N/D","SCS1","Deputy Director - Head of Informatics Portfolio Management","Informatics Deliverly Management","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-2351","916763","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-2187","N/D","SCS1","Deputy Director - Corporate Services Improvement Programme","Responsible for - Corporate Services Improvement Programme'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-097","N/D","SCS1","Deputy Director - Head of Pharmacy","'Responsible for all policy relating to hospital and community pharmacy including the community pharmacy contractual framework; remuneration and reimbursement; electronic prescription system; pharmacy workforce and professional aspects, involvement of pharmacists in wider provision of health services including public health.'","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-028","576122","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-017","Kathryn Tyson","SCS2","Director, International Health and Public Health Policy","Director, International Health & Public Health Delivery.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-006","420842","0.89","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-048","N/D","SCS1","Deputy Director - Policy Communications","'Leads the Policy Communications team within the Communications Division. The team encompasses an account management team, who provide strategic communications support and work with policy teams to establish their communications needs, an events and visits team, a brand management team and a strategy and evaluation team.  '","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-013","1598826","1.00","85000","89999","","Communications","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-FP-2060","N/D","SCS1","Chief Analyst - Deputy Director - Office of the Chief Analyst","'Promoting evidence based policy making, delivering cross cutting analytical projects'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-FP-030","0","1.00","85000","89999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-075","N/D","SCS1","Deputy Director - Developing Well","'Responsible both for delivering Ministers commitments for early years, ill and disabled children and safeguarding children, and supporting the smooth transfer of policy/functions to the appropriate location within the new system architecture.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-022","0","1.00","85000","89999","","Policy","Cost of reports added to SC-022 http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-058","N/D","SCS1","Deputy Director Technology Services","Responsible for - Delivering operational ICT services to DH & the ALBs '","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-016","2784331","1.00","85000","89999","","Information Technology","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-FP-030","Andrew Sanderson","SCS2","Director Financial Planning","'Spending review for DH, including NHS. DH lead link with HM Treasury. Forward financial planning.  Performance monitoring.'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","533400","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-020","Helen Shirley Quirk","SCS2","Director, Health Protection & Emergency Response","'Responsible for: 1 Ensuring the UK is prepared for an influenza pandemic. 2 Ensuring the delivery of the Olympic & Paralympics health programme.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-006","470357","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-068","Paul Macnaught","SCS2","Director – Health Science & Bioethics","'Responsible for: Health, Science & Bioethics Division.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-006","292557","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-046","N/D","SCS1","Deputy Director - Media Centre","Provision of a 24/7 media relations service for ministers; senior officials and all policy teams in the department of Health. Responds to all journalist enquiries and interview requests.'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-013","1654572","1.00","85000","89999","","Communications","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-PICD-104","N/D","SCS1","Deputy Director for Companies and Ventures","Companies and Ventures aim to deliver increased value to the Health community through pro-active management of our shareholdings, interests and intellectual property. We aim to lead the challenge to drive better value from our holdings to enable better outcomes, faster and more efficiently and develop future opportunities that optimise our unique position.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","603093","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN141","Samantha Foley","SCS2","Director of the Government Finance Academy","Director of the Government Finance Academy","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","88900","1.00","90000","94999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-060","N/D","SCS1","Head of the Nursing, Midwifery and Allied Health Professions Policy Unit, Quality Division","To advise Ministers and policy teams on all issues across the health and social care system relating to nursing, midwifery and the allied health professions with a particular emphasis on quality, regulation, workforce and staffing issues.  The Unit has close working relationships with the NHS arms-length bodies, professional organisations, membership organisations, unions and regulators.","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-1945","0","1.00","85000","89999","","Policy","Cost of reports added to SER-1945 http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-064","N/D","SCS1","Deputy Director Infectious Diseases","Deputy Director Infectious Diseases","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-020","736434","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-019","Mark Davies","SCS2","Director of Health and Wellbeing","Director of Health and Wellbeing","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","PHD-006","560377","1.00","95000","99999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN140","Jeremy Marlow","SCS2","Director of Productivity and Efficiency","Director of Productivity and Efficiency","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","237363","1.00","100000","104999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-037","N/D","SCS1","Deputy Director -  Research Contracting, Information Intelligence and Stakeholder Engagement","Responsible for - maximising opportunities for better use of information to increase the evidence base of research and efficiency of the research system; transparency in reporting of results of research policy; mobilising research outputs and evaluating the impact of DH investment in research, and communicating the impacts to stakeholders and developing the patient and public involvement and engagement with research system'","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","RDD-009","0","1.00","85000","89999","","Policy","Cost of reports added to RDD-009 http://guidance.data.gov.uk/organogram-data.html","1"
"FN-GFM-2476","N/D","SCS1","Deputy Director - Anti-Fraud Unit","Responsible for: setting the overall direction in fraud detection and prevention","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-GFM-027","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-028","Liz Woodeson","SCS2","Director - Medicines Pharmacy and Industry Group","Overall responsibility for: policy relating to medicines, including pricing, supply, clinical and cost effectiveness; sponsorship of the pharmaceutical and medical technology industries; pharmacy; prescription charges and the Commercial Medicines Unit.","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-2351","552589","1.00","105000","109999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-015","ELIMINATED","SCS2","Director - Group Assurance","'Responsible for - Corporate governance and assurance for DH, our ALBs and the health and care system as a whole. Secretariat to DH boards and committees and risk management. Business planning and quarterly assessment. Support to ALB sponsors; public appointments.
Liaison with Cabinet Office on efficiency and reform. Oversight of internal audit.'","Department of Health","Department of Health","Group Operations","N/A","N/D","IGO-005","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-013","Sam Lister","SCS2","Director - Communications","'Responsible for setting the Department’s communications strategy and priorities, and for consultation and engagement with external partners. Provides leadership across the Department on communications'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-004","1115300","1.00","115000","119999","","Communications","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-011","Giles Denham","SCS2","Director of Workforce","Responsible for strategic oversight of workforce development across health and adult social care; Departmental policy on education and training for the health and adult social care workforce, including sponsorship of Health Education England; the overall NHS reward package and terms and conditions of employment, including pay and pensions of NHS staff, and policy on delivering high quality and compassionate care to patients and service users, including leadership and workplace culture issues'","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-004","636305","1.00","115000","119999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-026","Sarah McClinton","SCS2","Director, Mental Health, Disability and Dementia","'Providing leadership and strategic direction for mental health & disability policy including offender mental health, secure services and migrant health.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-003","1675210","1.00","120000","124999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSG-031","Ben Dyson","SCS2","Director of NHS Group (Secondee In)","NHS Group","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","533400","1.00","120000","124999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-022","Flora Goldhill","SCS2","Director for Children, Families and Social Inclusion","'Providing strategic focus, leadership and coordination, within the Department of Health, in relation to issues of equality and human rights. Leading the Departments work on health inequalities, social justice, child poverty and disadvantage. Developing and implementing a programme of work on The Big Society, including managing the Department of Healths grants programme. Providing strategic leadership and focus within the Department on health care for military personnel, their families and veterans. Leading the Department of Healths work on health and crime, including the Coalition commitment on Information Sharing. Leading the Department’s work with stakeholders, including responsibility for key engagement mechanisms.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-003","2336328","1.00","120000","124999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-005","Tamara Finkelstein","SCS3","Chief Operating Officer","Director General for DH Operations and related coorporate responsibilities","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","SER-001","210719","1.00","120000","124999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-2351","William Cavendish","SCS3","Director General for Innovation, Growth & Technology","Innovation, Growth & Technology","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","SER-001","392600","1.00","120000","124999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-GFM-027","Andrew Baigent","SCS2","Director - Group Financial Management","'Responsible for: Accounting In year budget management Financial management & reporting Corporate finance services  .'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","706395","1.00","125000","129999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-014","Kate Tilley","SCS2","Director of People and Capability","'Responsible for: Departmental HR Strategy and policies All aspects of employment Learning & Development HR aspects of Business Management System Overseeing ALB HR governance and assurance Implementation of Civil Service HR & Shared Services'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-005","825429","0.83","95000","99999","","Human Resources","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-009","Kathryn Wood","SCS2","Director of Research & Development","'Provide leadership to - create an effective and efficient research system in the NHS, public health and social care that supports world-class research focused on the needs of patients and the public - commission reliable and relevant research to support decision-making about health and social care by patients, professionals and policy makers - support DH’s wider roles across Government particularly in relation to the key contribution that health research makes to improving national health and increasing national wealth.'","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","RDD-042","2036181","1.00","60000","64999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-004","Charlie Massey","SCS3","Director General - Strategy & External Relations","The Strategy and External Relations Directorate aims to transform the way the Department fulfils its vision for better care, better health and better value by setting policy, strategy and outcomes for information to support patients and public, to improve quality and safety of healthcare, overseeing the framework to improve engagement between DH and the public, improving policy-making and outcomes","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-001","1532115","1.00","130000","134999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-006","Felicity Harvey","SCS3","Director General for Public and International Health","'Director General for Health Improvement & Protection and Chief Scientist.'","Department of Health","Department of Health","Public Health and International Directorate","020 7210 4850","N/D","SER-001","521413","1.00","135000","139999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN131","David Williams","SCS3","Director General, Finance, Commercial and NHS","Director General, Finance, Commercial and NHS","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","SER-001","88900","1.00","135000","139999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-003","Jon Rouse","SCS3","Director General for Social Care,  Local Government & Care Partnerships","'Providing leadership and strategic direction for adult social care, mental health, disability, offender health and in developing DHs relationships with local and regional government.'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SER-001","1164012","1.00","140000","144999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN-PICD-033","Patrick Mills","SCS2","Commercial Director","Commercial Directorate (CD) plays a unique role in driving efficiencies and unlocking value across the healthcare system.  With c. £120 billion pa of spend on the healthcare system, and a £22bn shortfall in funding, we need to be sharper and smarter to deliver better outcomes, faster and more efficiently.  Ultimately we enable better outcomes for patients and better value for money for tax payers.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN131","1917770","1.00","155000","159999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-001","Una O'Brien","SCS4","Permanent Secretary of the Department of Health","'Leadership and management of the Department of Health. Ensuring the department operates efficiently and coherently as a department of state in support of Ministers, including effective cross-Government working.'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","XX","0","1.00","160000","164999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"CMO-002","Professor Dame Sally Davies","SCS4","Chief Medical Officer","Advisor to UK Gvt on medical and public health issues.  Also responsible for Health Research,","Department of Health","Department of Health","Chief Medical Officer's Private Office","020 7210 4850","N/D","SER-001","556932","1.00","205000","209999","","Medicine","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT-010","Katie Farrington","SCS2","Director - Digital & Data Policy","Responsible for Digital and Data Policy","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-2351","651491","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGO-057","N/D","SCS1","Deputy Director - HR Business Partnering & Capability Development","'Responsible for - HR Business Partnering & Corporate Learning & Development'","Department of Health","Department of Health","Group Operations","020 7210 4850","N/D","IGO-014","0","1.00","85000","89999","","Human Resources","Cost of reports added to IGO-014 http://guidance.data.gov.uk/organogram-data.html","1"
"FN-NHSG-095","VACANT","SCS1","Deputy Director - NHS Commissioning","'Responsible for NHS commissioning. '","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-NHSG-031","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PSF021","VACANT","SCS1","Deputy Director Strategy Group and Senior Strategy Adviser","'Responsible for leading Strategic Projects.'","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-FP-030","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PSF039","VACANT","SCS1","Deputy Director OCA and Head of Profession for Statistics","'Head of Profession for Statistics.'","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-FP-030","0","1.00","85000","89999","","Statisticians","http://guidance.data.gov.uk/organogram-data.html","1"
"SC-1937","Lyn Romeo","SCS2","Director, Chief Social Worker","'Providing leadership and strategic direction on adult social care'","Department of Health","Department of Health","Social Care Local Government & Care Partnerships","020 7210 4850","N/D","SC-003","106721","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD074","ELIMINATED","SCS1","Abortion Medical Advisor","'Responsible for sexual health'","Department of Health","Department of Health","Public Health and International Directorate","N/A","N/D","PHD-068","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD075","ELIMINATED","SCS1","Interim National Medical Advisor","'Public Health Development'","Department of Health","Department of Health","Public Health and International Directorate","N/A","N/D","PHD-065","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"CMO-008","Georgina Radford","SCS2","Deputy CMO","'Deputy for the Chief Medical Officer, with responsibility for Public Health '","Department of Health","Department of Health","Chief Medical Officer's Private Office","020 7210 4850","N/D","CMO-002","0","1.00","0","0","","Medicine","http://guidance.data.gov.uk/organogram-data.html","1"
"PHD-018","Professor John Watson","SCS2","Deputy CMO","Deputy for Chief Medical Officer with responsibility for infectious diseases and vaccination'","Department of Health","Department of Health","Chief Medical Officer's Private Office","020 7210 4850","N/D","CMO-002","0","1.00","0","0","","Medicine","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2355","Nicole Mather","SCS2","Director of the Office for Life Sciences","Lead the drive  to make the UK the destination of choice for life sciences research and investment to improve patient outcomes and contribute to economic growth","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-2351","998053","0.40","0","0","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2356","ELIMINATED","SCS1","Deputy Director of Supply and Demand","Supply and Demand","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT2355","0","1.00","0","0","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"FN132","VACANT","SCS1","Deputy Director for Structured Finance (PFI & Transactions)","Responsible for all corporate finance transactions for DH owned companies and ALBs, advising and managing the set up and sale of companies and equity stakes, in terms of commercial and legal structures. This includes fund set up, management & sponsorship –specifically, in regard to the management of the Dementia Discovery Fund (DDF).Responsible for off balance sheet financing and future Public Private Partnership (PPP) financing, specifically:
• Leading the creation of models to fund capital expenditure for buildings and capital expenditure to replace medical equipment in the NHS.
• Lead commercial advice with NHS Trusts to improve the operational aspects of existing PFI deals, resolve and mediate disputes between Trusts and their PFI partners and generate PFI efficiency savings.","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-PICD-033","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN134","VACANT","SCS1","Deputy Director Commercial Capability","The Departmental Programme responsible for leading the Department’s response to the Cabinet Office, Commercial Capability Review recommendations and developing a DH Commercial Blueprint. Specifically, reforming DH commercial capability and transition of commercial specialist roles into the new Government Commercial Organisation.","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-PICD-033","0","0.80","70000","74999","","Policy","Cost of reports added to FN-PICD-033 http://guidance.data.gov.uk/organogram-data.html","1"
