"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"DWP321","N/D","SCS1","Senior Finance Business Partner","Responsible for financial, analytical and management information support to the Child Maintenance Group, including: preparation of budgets and monitoring of expenditure; ensuring business decisions achieve value for money and observe requirements for financial control and propriety; ensuring business decisions are informed by appropriate analysis and management information; the provision of routine management information for managing the Group; the provision of analysis and management information for publication.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP344","0","1.00","80000","84999","","Information Technology","","1"
"DWP148","Paul Lodge","SCS2","Director of Data and Analytics","Responsible for helping DWP to make best use of its information, whilst complying with obligations to keep it safe, secure and used only where we have legal powers to do so. The Directorate provides a range of services to support this, including the production of statistics; management information; information architecture; analytical data bases; data matching; records management; and library services.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","16581150","1.00","125000","129999","","Information Technology","","1"
"DWP460","N/D","SCS1","Chief Architect","As our Chief Architect, Peter will lead the joined-up approach to technology solutions across Shared Services, providing a Design Authority service which covers the quality of solutions from concept to operations and enables a harmonised approach to analysis, architecture, service and security.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP77","0","1.00","90000","94999","","Information Technology","","1"
"DWP344","Ray Long","SCS2","BPDTS CEO","Leads BPDTS who provide services to DWP","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","0","1.00","105000","109999","","Information Technology","","1"
"DWP418","N/D","SCS1","Head of Finance, Commercials & HR & BOSS","Responsible for delivering, shaping and assuring the systems which make payments and receive money, handle our accounts, embed our commercial agreements and manage our people.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP240","0","1.00","90000","94999","","Information Technology","","1"
"DWP354","Simon McKinnon","SCS2","Children Health and Pensions Digital Director","Responsible for the Technology systems that support delivery of the Department’s Pensions, Health Childrens Services. Team Function is to :- Provide Technology that that meets users’ needs, is stable, secure and flexible.  Develop and continually improve Technology solutions in conjunction with the Government Digital Service (GDS) and other Directorates to deliver integrated digital solutions delivered through a digital approach, hosted on flexible infrastructure, supported by appropriate data analytics. Deliver Technology components of projects and programs, manage the transition of  IT change into live service and then maintain running of the live service.  Manage the supply of suitably skilled people to drive the delivery of Technology change, project standards and excellence","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","11759356","1.00","125000","129999","","Information Technology","","1"
"DWP429","N/D","SCS1","Deputy Director Childrens and Family Services","Responsible for the Technology systems that support delivery of the Department’s Children's/Family Services. The Deputy Director role is to develop and continually improve technology; deliver integrated solutions through a digital approach; deliver technology components of projects and programs; manage the transition of IT change into live service and then maintain running of that service; manage the supply of suitably skilled people to drive the delivery of Technology change, project standards and excellence","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP354","0","1.00","85000","89999","","Information Technology","","1"
"DWP220","N/D","SCS1","Head of Enterprise Security and Risk Management","The Head of Technology Security & Risk Management team is responsible for technology security design, technology security architecture, technology security enterprise risk and remediation, technology security platform and digital security, technology security change delivery.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","2226467","1.00","90000","94999","","Information Technology","","1"
"DWP80","N/D","SCS1","Head of Tech Support","Supports the IT Director in his accountabilities to provide DWP IT Businesses with their IT requirements, providing suitable IT systems and services that allow DWP staff to deliver services to DWP’s Customers and Claimants.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP240","0","0.89","75000","79999","","Information Technology","","1"
"DWP502","N/D","SCS1","Digital Delivery & Business Partnering Director","Leads digital delivery platforms and business partnering across Digital.","Department for Work and Pensions","Department for Work and Pensions","Digital","0207 449 7892","pmd.planningandperformance@dwp.gsi.gov.uk","DWP59","20091707","0.88","70000","74999","","Information Technology","","1"
"DWP44","N/D","SCS1","Work Services Director Scotland","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Scotland","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP513","31032980","1.00","0","0","","Operational Delivery","","1"
"DWP35","N/D","SCS1","Work Services Director, North West England","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD North West","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP512","80534151","1.00","0","0","","Operational Delivery","","1"
"DWP43","N/D","SCS1","Work Services Director Southern England","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP317","136385575","1.00","70000","74999","","Operational Delivery","","1"
"DWP41","N/D","SCS1","Work Services Director Southern England","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP317","78113942","1.00","65000","69999","","Operational Delivery","","1"
"DWP512","Colin Stewart","SCS2","Area Director Northern England","The UC Area Director is accountable for Northern England for the preparation, expansion and successful delivery of UC in Job Centres and Service Centres. Additionally, the UC Area Directors, as members of a UC Operational Executive Team, will have collective responsibility for  successful national delivery, working with the UC Operations Director and the UC Programme in the future design and expansion of services.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP448","0","1.00","90000","94999","","Operational Delivery","","1"
"DWP513","DENISE HORSFALL","SCS2","Area Director Scotland","UC Area Director is accountable within Scotland for the preparation, expansion and successful delivery of UC in Job Centres and Service Centres. Additionally, the UC Area Directors, as members of a UC Operational Executive Team, will have collective responsibility for  successful national delivery, working with the UC Operations Director and the UC Programme in the future design and expansion of services.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP448","1162885","1.00","90000","94999","","Operational Delivery","","1"
"DWP507","N/D","SCS1","Work Services Director, Wales","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP343","43300853","1.00","70000","74999","","Operational Delivery","","1"
"DWP17","N/D","SCS1","Work Services Director, North East England","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP512","96059616","1.00","65000","69999","","Operational Delivery","","1"
"DWP25","N/D","SCS1","Work Services Director, Central England","The Work Services Director is accountable for all face to face services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search in their geographical group and local engagement with partners and employers. They are accountable for the end-to-end claimant experience in the Group; ensuring that all face to face service is delivered to required standards; within budget and headcount; and for delivering against all agreed operational measures. They drive performance improvement across the Jobcentre network, and provide senior leadership across the Group; delivering and championing key government initiatives to help get Britain back to work. They are also responsible for national engagement with employers.","Department for Work and Pensions","Department for Work and Pensions","Operations - WSD Director & Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP343","115807880","1.00","0","0","","Operational Delivery","","1"
"DWP352","Anthony Brigginshaw","SCS2","Director, Digital Services","I am responsible for the Universal Credit Digital Service team. This team is responsible for designing and building an enhanced digital service which gives claimants an online account to manage all aspects of their Universal Credit claim – payment information, reporting any changes of circumstances, recording work search activity and viewing account information","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP295","0","1.00","145000","149999","","Programme and Project Management (PPM)","","1"
"DWP72","N/D","SCS1","Programme Director","Responsible for the delivery and design of the Logistics 2017 Programme.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP60","1240828","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP286","N/D","SCS1","Deputy Director, External Relations and Orientation for UC","Responsible for all external and stakeholder relationships and key Communications Products for UC.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP295","2893647","1.00","70000","74999","","Other","","1"
"DWP51","N/D","SCS1","Head of Disability Operations","Consisting of over 5000 staff and commercial partners across the UK, Disability Operations administers disability benefits to over 4m disabled adults and children. This includes rolling out Personal Independence Payments (PIP), one of the Government’s key welfare reforms to all adult claimants over the next 3 years.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP320","0","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP304","Ian Wright","SCS2","Universal Credit Programme Director","The Programme Director is responsible, and held account by The SRO, for The successful delivery of The day to day running of The Programme, delivery of The Programme objectives, monitoring benefits realised against The Business Case.  The Programme Director is also responsible for The overall integrity and coherence of The Programme, providing leadership, direct line management of project strand leads, chair governance boards/meetings and engagement with key internal and external delivery partners and stakeholders","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP295","3518568","1.00","125000","129999","","Other","","1"
"DWP284","JANICE HARTLEY","SCS2","UC Implementation & Delivery Director","Responsible for ensuring the implementation of Universal Credit is completed safely and securely","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP295","4620344","1.00","95000","99999","","Other","","1"
"DWP70","N/D","SCS1","ENTER JOB TITLE","Leadership of delivery of GMPP FED Programme","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP350","4122354","1.00","75000","79999","","Programme and Project Management (PPM)","","1"
"DWP351","Julie Gillis","SCS2","Programme Director","Programme Director for People and Locations (PLP) programme reporting to the SRO. The Programme brings together the estates rationalisation work of the Estates Programme and aligns it with our HR People strategies.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP343","0","1.00","90000","94999","","Programme and Project Management (PPM)","","1"
"DWP32","LARA SAMPSON","SCS2","Product Owner, Universal Credit","Leads a multi-disciplinary team to design, build and deliver into live the digitally transformed Universal Credit. Is also an active member of the Universal Credit Senior Leadership Team to ensure the successful delivery of a single integrated programme and to be part of the leadership of the broader digital transformation of the department's services and support the Director General for Digital Transformation in building departmental digital capability.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP295","0","1.00","115000","119999","","Programme and Project Management (PPM)","","1"
"DWP67","N/D","SCS1","Head of Asset Management","Responsible as the Head of Asset Management for the ongoing management and delivery of application change to all the live DWP and application systems/ assets, ADep supplier performance management and ADep benefits realisation. Some of these assets are also used across Government and wider public sector. The systems are critical to the delivery of Departmental and Government business. DWP examples include customer service, payment systems and shared service systems.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP320","0","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP320","N/D","SCS1","PIP Programme Director","The Programme Director is accountable for successful delivery of the day to day running of the programme and delivery of the programme objectives to timescales outlined including the monitoring and reporting of expenditures and costs against delivered and realised benefits as the programme progresses for: the Personal Independence Payment, a new benefit, from 2013/14 replacing Disability Living Allowance for eligible working age claimants (aged 16 to 64); Contribution-based Employment and Support Allowance legislative changes 2012; Work Capability Assessment, Harrington Review Implementation and the reassessment of Incapacity Benefits (Income Support) claimants.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP343","6589681","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP403","N/D","SCS1","Director Work and Health Programme and Support Staff","Director Work and Health Programme and Support Staff","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP82","0","1.00","65000","69999","","Programme and Project Management (PPM)","","1"
"DWP295","NEIL COULING","SCS3","Director General for the Universal Credit Programme","The Universal Credit Director General and Senior Responsible Owner is accountable for implementing the government’s main welfare reform programme. This includes: owning and communicating the vision of the programme; ensuring the implementation of Universal Credit is completed safely and securely and providing clear leadership to the programme team","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP135","0","1.00","145000","149999","","Programme and Project Management (PPM)","","1"
"DWP432","N/D","SCS1","Deputy Director, programme Planning and assurance","Responsible for Planning, Performance and Assurance,  Business Case, Financial Approvals and Benefit Realisation;","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP317","2241424","1.00","80000","84999","","Other","","1"
"DWP324","N/D","SCS1","Head of Strategic Design – Universal Credit Programme;","Complete High Level Design – pensions, housing, migration, Universal Support etc. Reflect high level design in operating models – digital transition, migration, TOM. Embed use of operating models to inform business case, programme plans and translation into detailed design. Agree a design assurance programme to encompass all aspects of the UC design. Delivered through excellent leadership, people engagement and collaborative cross team working","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP317","1489199","1.00","65000","69999","","Other","","1"
"DWP177","N/D","SCS1","Head of ESA and WCA Policy, Disability Employment and Support Directorate","Providing policy advice on Employment and Support Allowance and the Work Capability Assessment.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP317","0","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP522","N/D","SCS1","UC Technical lead","Head of UC FS Technology, accountable and responsible for all technical aspects of the build and ongoing running of the UC FS Service”. Also Head of Engineering for DWP Digital group","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP352","0","1.00","135000","139999","","Programme and Project Management (PPM)","","1"
"DWP269","N/D","SCS1","Labour Market Programme Manager","To deliver changes to ensure that as many people as possible are in work.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP448","5669940","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP260","N/D","SCS1","ESA Programme Director","Leadership of the ESA Programme ensuring the coherence and progress of the Programme to successfully deliver outcomes as agreed with Ministers. Development of compelling Programme Business Case underpinned by robust financial controls to ensure successful delivery within budget c £2.2 mill. Working collaboratively with key stakeholders to ensure their ongoing understanding of the Programme and ongoing commitment. Leadership of team of C 40 staff ensuring their ongoing development and capability.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP400","1646124","1.00","70000","74999","","Programme and Project Management (PPM)","","1"
"DWP9","N/D","SCS1","UC Programme – Transition and Migration Business Change","To work with business functions across DWP and delivery partners to support them with the development of their business change impact plans. 
To improve business processes and business products and manage the delivery of releases of change
To work with business functions across DWP and delivery partners to support them with the development of their business change impact plans. 
To improve business processes and business products and manage the delivery of releases of change
To work with business functions across DWP and delivery partners to support them with the development of their business change impact plans. 
To improve business processes and business products and manage the delivery of releases of change
To work with business functions across DWP and delivery partners to support them with the development of their business change impact plans. 
To improve business processes and business products and manage the delivery of releases of change
To work with business functions across DWP and delivery partners to support them with the development of their business change impact plans. 
To improve business processes and business products and manage the delivery of releases of change","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP317","900419","1.00","75000","79999","","Other","","1"
"DWP510","N/D","SCS1","Implementation Control Centre","Managing the successful delivery of UC.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP284","0","1.00","80000","84999","","Programme and Project Management (PPM)","","1"
"DWP317","N/D","SCS1","Strategic Design & Planning Director","With lead accountability for Strategic Design, the Target Operating Model, Planning, Performance and Assurance,  Business Case, Financial Approvals and Benefit Realisation; Labour Market Transformation and UC Test & Learn.","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP295","0","1.00","90000","94999","","Other","Team is too small, costs have been reported under (DWP324)","1"
"DWP523","N/D","SCS1","Enter JobTitle","ENTER JOB ROLE / DESCRIPTION","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP187","614278","1.00","0","0","","Programme and Project Management (PPM)","","1"
"DWP516","N/D","SCS1","Programme Director, Future Disability Service","Accountable for successful delivery of Future Disability Programme","Department for Work and Pensions","Department for Work and Pensions","Change","020 7449 5517","universal.creditcomms@dwp.gsi.gov.uk","DWP249","1907996","1.00","0","0","","Programme and Project Management (PPM)","","1"
"DWP84","N/D","SCS1","Head of Debt Operations","Debt Management is responsible for collecting Debt and Compensation on behalf of DWP, Local Authorities, other Government Departments and the NHS. It also administers the Integrated Loan Scheme on behalf of the Home Office. 1800 staff are primarily housed in 9 locations and forms part of DWP Finance and Commercial Directorate.","Department for Work and Pensions","Department for Work and Pensions","Finance Group","020 7449 7720","finance@dwp.gsi.gov.uk","DWP455","42894611","1.00","80000","84999","","Operational Delivery","","1"
"DWP172","N/D","SCS1","Head of Labour Market Analysis","Expert domain for the analysis and interpretation of regional, national and international labour market trends, including the monthly labour market National Statistics, the department’s overall approach to employment policy and cross government working on labour market issues.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP178","0","1.00","75000","79999","","Policy","","1"
"DWP395","N/D","SCS1","Deputy Director Children Families & Disadvantage, Lead Analyst","Research and analysis of children’s life chances, child maintenance, family stability and getting disadvantaged groups into work","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP396","0","1.00","70000","74999","","Policy","","1"
"DWP266","N/D","SCS1","Deputy Director, Work, Welfare & Wellbeing in Later Life","Strategy on: up-rating of social security benefits and State pensions; employment, welfare benefits and wellbeing for older people; extending working life; combatting pensioner poverty and material deprivation among older people; and engagement with older people. Maintenance and reform of Pension Credit. Maintenance of universal pensioner benefits. Income aspects of combatting fuel poverty, including operation of the Warm Home Discount Scheme.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP400","0","1.00","70000","74999","","Policy","","1"
"DWP405","N/D","SCS1","Deputy Director of Housing and Working Age Benefits Analysis","My team leads the provision of analysis for housing and working age benefits.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP169","0","1.00","70000","74999","","Policy","","1"
"DWP365","N/D","SCS1","SPAG 2020 Programme Manager and Head of GMO","Leading development of SPAG 2020 vision and strategy and management of the SPAG Group Management Office.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP135","0","1.00","70000","74999","","Policy","","1"
"0","N/D","SCS1","Not in Post","N/A","Department for Work and Pensions","Department for Work and Pensions","N/A","N/A","N/A","DWP187","0","1.00","85000","89999","","Policy","","1"
"DWP443","N/D","SCS1","Deputy Director Head of strategic Quality & Stakeholder Engagement","Responsible for developing the future direction for DWP, and the welfare system, to support successful outcomes through efficient customer focused delivery.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP436","0","1.00","70000","74999","","Policy","Team is too small, costs have been reported under (DWP436)","1"
"DWP509","N/D","SCS1","Deputy Director Work and Health Policy","Develop policy to support the Government’s objective to reduce the numbers of people who fall out of work and onto long term benefits due to ill health or a disability.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","0","0.69","75000","79999","","Policy","Job Share","1"
"DWP199","N/D","SCS1","Deputy Director for Transformation and Change Assessment","The post involves designing, influencing and enabling the Department transformation and has three key areas of responsibility: leading the development of the business strategy; leading the planning, engagement and governance strands of the DWP 2020 vision work; and overseeing the change assessment function","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP436","0","1.00","70000","74999","","Policy","","1"
"DWP192","Charlotte Clark","SCS2","Director of Private Pensions","Responsible for developing a regime that supports increased pension saving and minimises the burden on employers. Responsibility for delivering a major reform starting in October 2012 when on a staged basis all employers, starting with the largest, will be required to automatically enrol their work force into a pension. Unless the employee chooses to opt out employer and employee will be required to make a minimum contribution to the pension. The team are overseeing the development of a new low cost pension – National Employment Savings Trust. The team is also responsible, with the Pensions Regulator and the Pension Protection Fund for ensuring an effective regime for pension protection.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","6294099","1.00","100000","104999","","Policy","","1"
"DWP509","N/D","SCS1","Deputy Director Work and Health Policy","Develop policy to support the Government’s objective to reduce the numbers of people who fall out of work and onto long term benefits due to ill health or a disability.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","0","0.69","65000","69999","","Policy","Job Share","1"
"DWP171","Donna Ward","SCS2","Director Children Families & Disadvantage","Head of Children Families & Disdvantage","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","3478632","1.00","105000","109999","","Policy","","1"
"DWP189","N/D","SCS1","Deputy Director of Contributory Pensions Policy","To take forward policy on the new State Pension, the existing legislative framework that applies to today’s pensioners, state pension age, and payment of the state pension overseas.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP400","0","1.00","70000","74999","","Policy","","1"
"DWP1801","N/D","SCS1","Deputy Director, DWP Insight","DWP Insight develops and leverages our comprehensive understanding of the needs and behaviours of our service users (claimants, customers, staff, empoyers, intermediaries) in order to ensure the Department: - drives behaviour change to achieve the stated policy and service outcomes and creates more effective policies and services minimising cost to the Department, its users and the taxpayer.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP436","0","0.94","75000","79999","","Policy","","1"
"DWP213","N/D","SCS1","Head of Service Design and Management – Pensions, Fraud and Error, Child Maintenance, Communications and Instructions and Ideas","Lead product manager for the fraud and error, pensions and child maintenance customer journeys, with cross cutting responsibility for staff instructions, the ‘bright ideas’ suggestions scheme and external communications content such as forms, SMS and letters","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP436","0","1.00","65000","69999","","Policy","","1"
"DWP279","N/D","SCS1","Automatic Enrolment Programme Director","Directing and steering the Automatic Enrolment Programme, including identifying and managing the key risks and mitigations within the programme’s delivery. Responsibility for NEST policy and stewardship, ensuring developments meet Ministerial and Departmental objectives. Leadership of the Better Workplace Pensions work programme including development, delivery and evaluation of a charge cap on pension schemes used for automatic enrolment, new governance arrangements for contract based pension schemes and the development with the FCA of new transparency measures for workplace pensions.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP192","0","0.74","70000","74999","","Policy","Job Share - Team is too small, costs have been reported under (DWP192)","1"
"DWP445","N/D","SCS1","Deputy Director, Universal Credit and Analysis Division","Team provides analysis to support and influence the design and implementation of Universal Credit, working with policy and delivery colleagues as well as analysts from other parts of DWP.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP169","0","1.00","70000","74999","","Policy","","1"
"DWP1851","N/D","SCS1","Head of Stewardship and Pensions Protection Division","Stewardship Division is responsible for the Department’s Arm’s Length Bodies, providing assurance to the Principal Accounting Officer that the bodies are well-run and delivering their objectives .","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP192","0","1.00","75000","79999","","Policy","","1"
"DWP442","N/D","SCS1","Deputy Director Disadavantaged Groups","Responsible for leading on policy and strategy for transforming the life chances and improving employment outcomes of the most disadvantaged groups in society, those facing multiple barriers, and those socially excludedNTER Job Role / Description","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP171","0","0.94","75000","79999","","Policy","","1"
"DWP446","N/D","SCS1","Deputy Director, Disability & Work Operations","Develop strategies to deliver better work outcomes and work experiences for disabled people and people with health conditions. This includes working with employers to create opportunities for disabled people and people with health conditions including the Disability Confident Campaign, and developing our support offer to employers.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP10","0","1.00","80000","84999","","Policy","","1"
